,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
114,ACHC,38.51,2018-02-27,36535938.89,ACHC,27.33,2019-02-27,30141792.39
115,ACHC,26.38,2019-03-01,98660434.98,ACHC,29.81,2020-03-02,35902329.32
116,ACHC,32.58,2020-02-28,54516439.8,ACHC,56.01,2021-03-01,64118567.7
117,ACHC,52.51,2021-02-26,106882267.15,ACHC,55.8,2022-02-28,44563442.4
118,ACI,18.18,2021-04-28,42103934.64,ACI,31.29,2022-04-28,84721116.89999999
119,ACIA,43.21,2018-02-22,37398946.36,ACIA,48.75,2019-02-22,175921736.25
120,ACIA,46.98,2019-02-21,62374970.16,ACIA,68.72,2020-02-21,14553040.56
121,ACIW,24.85,2018-02-27,20799151.8,ACIW,30.98,2019-02-27,22108133.48
122,ACIW,32.23,2019-03-01,34025211.0,ACIW,28.11,2020-03-02,27495543.51
123,ACIW,27.89,2020-02-27,27286376.73,ACIW,38.15,2021-02-26,47572058.1
124,ACIW,40.57,2021-02-25,53406266.86,ACIW,33.91,2022-02-25,23908245.5
125,ACLS,26.35,2018-03-14,20966510.55,ACLS,20.19,2019-03-14,3464159.8200000003
126,ACLS,19.67,2019-03-11,2586605.0,ACLS,22.61,2020-03-10,8584451.75
127,ACLS,24.28,2020-03-02,6980621.4,ACLS,39.73,2021-03-02,9795908.26
128,ACLS,36.99,2021-02-26,11676448.35,ACLS,69.17,2022-02-28,34628507.93
129,ACM,35.2,2017-11-14,59630348.8,ACM,31.58,2018-11-14,68032951.89999999
130,ACM,31.01,2018-11-13,62667984.96,ACM,42.83,2019-11-13,48978417.82
131,ACM,42.83,2019-11-13,48978417.82,ACM,47.14,2020-11-12,84083900.84
132,ACM,50.0,2020-11-19,75176200.0,ACM,72.63,2021-11-19,79593183.36
133,ACN,141.58,2017-10-26,278272516.82000005,ACN,154.3,2018-10-26,381513384.9
134,ACN,157.87,2018-10-24,390556171.7,ACN,185.05,2019-10-24,373367057.75
135,ACN,182.55,2019-10-29,283682517.45,ACN,216.81,2020-10-28,523005342.75
