,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
10462,TNET,41.85,2018-02-27,22495212.0,TNET,62.44,2019-02-27,24803603.16
10463,TNET,48.57,2019-02-14,24065852.16,TNET,55.23,2020-02-14,111026770.25999999
10464,TNET,51.15,2020-02-13,54513726.3,TNET,84.14,2021-02-12,36667959.58
10465,TNET,84.38,2021-02-16,42999457.339999996,TNET,85.19,2022-02-16,69794292.82
10466,TNET,84.0,2022-02-14,26513424.0,TNET,,,
10467,TNL,120.23,2018-02-20,80663389.07000001,TNL,46.66,2019-02-20,30621604.86
10468,TNL,46.73,2019-02-26,68621649.83,TNL,43.56,2020-02-26,57081938.760000005
10469,TNL,43.56,2020-02-26,57081938.760000005,TNL,59.0,2021-02-25,39267863.0
10470,TNL,58.02,2021-02-24,79891161.18,TNL,54.63,2022-02-24,42462970.29
10471,TNL,60.0,2022-02-23,55045620.0,TNL,,,
10472,TOL,47.64,2017-12-21,68017057.2,TOL,32.16,2018-12-21,175577970.23999998
10473,TOL,31.87,2018-12-20,141258612.06,TOL,39.19,2019-12-20,135583644.31
10474,TOL,39.75,2019-12-26,65140233.0,TOL,45.84,2020-12-28,54124204.800000004
10475,TOL,46.01,2020-12-22,51856122.62,TOL,68.16,2021-12-22,150709325.76
10476,TOL,69.15,2021-12-17,210497855.4,TOL,,,
10477,TOST,,,,TOST,26.44,2022-02-09,77087168.44
10478,TOST,27.49,2022-02-14,65563182.669999994,TOST,,,
10479,TOWR,26.9,2018-02-28,2583906.4,TOWR,25.62,2019-02-28,4737599.16
10480,TOWR,25.99,2019-02-27,4888277.17,TOWR,,,
10481,TPB,21.18,2018-03-08,539984.1,TPB,43.06,2019-03-08,4844206.94
10482,TPB,42.23,2019-03-07,6860052.35,TPB,23.78,2020-03-06,3193558.8800000004
10483,TPB,19.05,2020-03-12,5047430.850000001,TPB,51.6,2021-03-12,7961157.600000001
10484,TPB,51.89,2021-02-19,9626944.14,TPB,35.76,2022-02-22,11844856.319999998
10485,TPB,29.82,2022-03-11,7220167.5,TPB,,,
10486,TPCO,15.7,2018-03-16,5423266.7,TPCO,11.29,2019-03-18,970477.1099999999
10487,TPCO,11.29,2019-03-18,970477.1099999999,TPCO,6.71,2020-03-17,3379350.59
10488,TPCO,9.38,2020-03-11,4574944.92,TPCO,17.09,2021-03-11,2173386.57
10489,TPCO,17.0,2021-03-08,3933341.0,TPCO,,,
10490,TPCS,2.48,2017-07-28,41011.76,TPCS,2.76,2018-07-30,8161.32
10491,TPCS,2.76,2018-07-27,2655.12,TPCS,5.32,2019-07-29,187694.92
10492,TPCS,5.12,2019-06-27,99768.32,TPCS,5.16,2020-06-26,247509.72
10493,TPCS,6.08,2020-06-11,130805.12,TPCS,5.04,2021-06-11,106086.96
10494,TPCS,5.08,2021-06-10,37602.16,TPCS,,,
10495,TPH,18.11,2018-02-20,60401178.29,TPH,13.19,2019-02-20,14046650.93
10496,TPH,12.77,2019-02-26,41811278.6,TPH,16.82,2020-02-26,55181559.02
10497,TPH,17.7,2020-02-19,86983800.3,TPH,19.49,2021-02-18,48976947.23
10498,TPH,18.75,2021-02-19,32468118.75,TPH,21.35,2022-02-22,49125581.400000006
10499,TPH,22.06,2022-02-18,40181032.58,TPH,,,
10500,TPIC,20.36,2018-03-08,2986567.6799999997,TPIC,29.33,2019-03-08,6457732.75
10501,TPIC,28.46,2019-03-05,19903643.3,TPIC,23.77,2020-03-04,10081142.24
10502,TPIC,23.76,2020-03-02,13413898.08,TPIC,53.89,2021-03-02,65519839.230000004
10503,TPIC,64.94,2021-02-25,75343712.7,TPIC,9.29,2022-02-25,22138497.339999996
10504,TPIC,9.29,2022-02-25,22138497.339999996,TPIC,,,
10505,TPL,541.0,2018-02-28,7166086.0,TPL,767.09,2019-02-28,11256278.66
10506,TPL,767.09,2019-02-28,11256278.66,TPL,665.0,2020-02-28,18262230.0
10507,TPL,700.13,2020-02-27,18926614.29,TPL,1111.0,2021-02-26,32253441.0
10508,TPR,40.92,2017-08-18,154268686.44,TPR,51.8,2018-08-20,140378673.4
10509,TPR,51.75,2018-08-16,193164120.0,TPR,18.81,2019-08-16,261513492.57
10510,TPR,21.9,2019-08-15,576450967.8,TPR,15.55,2020-08-14,147008098.35
10511,TPR,16.12,2020-08-13,117287475.76,TPR,44.67,2021-08-13,99669624.81
10512,TPR,40.45,2021-08-19,344109646.65000004,TPR,,,
10513,TPX,12.38,2018-03-01,59968620.96,TPX,14.72,2019-03-01,32134584.32
10514,TPX,14.69,2019-02-25,75951001.88,TPX,21.8,2020-02-25,112119667.2
10515,TPX,21.83,2020-02-24,124373980.03999999,TPX,32.5,2021-02-23,109409105.0
10516,TPX,32.4,2021-02-19,101598915.6,TPX,32.3,2022-02-22,481446034.99999994
10517,TPX,32.3,2022-02-22,481446034.99999994,TPX,,,
10518,TR,30.47,2018-03-01,3368519.44,TR,34.22,2019-03-01,7198245.4399999995
10519,TR,34.22,2019-03-01,7198245.4399999995,TR,28.52,2020-03-02,4013847.76
10520,TR,30.66,2020-02-28,6497743.14,TR,28.43,2021-03-01,10437477.47
10521,TR,28.43,2021-03-01,10437477.47,TR,31.78,2022-03-01,8994820.52
10522,TR,31.78,2022-03-01,8994820.52,TR,,,
10523,TRC,23.85,2018-03-12,1614597.3,TRC,18.07,2019-03-12,632359.65
10524,TRC,18.57,2019-03-01,555038.73,TRC,15.11,2020-03-02,1280209.8599999999
10525,TRC,14.46,2020-03-10,2260893.3000000003,TRC,16.91,2021-03-10,1668120.77
10526,TRC,16.59,2021-03-03,1580645.43,TRC,17.69,2022-03-03,507950.66000000003
10527,TRC,17.69,2022-03-03,507950.66000000003,TRC,,,
10528,TRCO,41.72,2018-03-01,30857113.279999997,TRCO,46.44,2019-03-01,77422817.52
10529,TRCO,46.44,2019-03-01,77422817.52,TRCO,,,
10530,TREE,340.7,2018-02-26,102584429.3,TREE,300.22,2019-02-26,181979253.66000003
10531,TREE,316.11,2019-02-28,43587459.57,TREE,264.56,2020-02-28,57439150.72
10532,TREE,283.63,2020-02-27,61031787.03,TREE,282.01,2021-02-26,91103612.50999999
10533,TREE,275.0,2021-03-01,84481375.0,TREE,121.0,2022-03-01,34503634.0
10534,TREE,121.0,2022-03-01,34503634.0,TREE,,,
10535,TREX,28.12,2018-02-21,38466360.32,TREX,37.65,2019-02-21,35644384.5
10536,TREX,38.85,2019-02-14,71093169.0,TREX,50.84,2020-02-14,43003929.120000005
10537,TREX,51.3,2020-02-24,110612957.39999999,TREX,96.74,2021-02-23,217391032.32
10538,TREX,102.01,2021-02-22,90669854.33,TREX,84.6,2022-02-22,106102866.6
10539,TREX,88.84,2022-02-28,140379371.08,TREX,,,
10540,TRGP,49.55,2018-02-16,177700421.75,TRGP,46.68,2019-02-19,239033669.16
10541,TRGP,40.43,2019-03-01,100347826.02,TRGP,32.98,2020-03-02,98159132.53999999
10542,TRGP,39.71,2020-02-20,200269006.19,TRGP,29.65,2021-02-19,54512414.5
10543,TRGP,30.73,2021-02-18,83055568.96000001,TRGP,61.9,2022-02-18,64877637.6
10544,TRGP,60.36,2022-02-24,130674631.56,TRGP,,,
10545,TRHC,35.36,2018-03-14,11148689.76,TRHC,61.05,2019-03-14,29614317.15
10546,TRHC,57.0,2019-03-01,56552493.0,TRHC,56.55,2020-03-02,30214099.5
10547,TRHC,56.55,2020-03-02,30214099.5,TRHC,39.65,2021-03-02,20296042.0
10548,TRHC,41.99,2021-02-26,19349705.830000002,TRHC,5.48,2022-02-28,9942435.24
10549,TRHC,4.65,2022-02-25,11249889.15,TRHC,,,
10550,TRIP,42.67,2018-02-21,169697224.56,TRIP,55.33,2019-02-21,128608000.72999999
10551,TRIP,54.69,2019-02-22,121775652.57,TRIP,26.95,2020-02-24,74493249.6
10552,TRIP,28.88,2020-02-19,47031715.36,TRIP,37.3,2021-02-18,148663887.1
10553,TRIP,38.77,2021-02-19,309400767.09000003,TRIP,27.64,2022-02-22,66370632.92
10554,TRIP,28.2,2022-02-18,115553137.8,TRIP,,,
10555,TRMB,39.1,2018-02-27,29943913.900000002,TRMB,39.95,2019-02-27,24372935.700000003
10556,TRMB,40.0,2019-02-22,30746880.0,TRMB,43.71,2020-02-24,43789552.2
10557,TRMB,38.82,2020-02-28,116805498.0,TRMB,75.22,2021-03-01,107443194.92
10558,TRMB,73.81,2021-02-26,113106591.62,TRMB,68.75,2022-02-28,121057200.0
10559,TRMB,67.63,2022-02-23,97857093.24,TRMB,,,
10560,TRN,24.55,2018-02-22,81908939.15,TRN,25.18,2019-02-22,89626447.4
10561,TRN,25.91,2019-02-21,90486244.39,TRN,23.3,2020-02-21,32858149.3
10562,TRN,23.45,2020-02-20,64977605.0,TRN,31.95,2021-02-19,21550275.0
10563,TRN,32.75,2021-02-24,35920003.5,TRN,28.11,2022-02-24,24360547.65
10564,TRN,30.02,2022-02-17,39082617.72,TRN,,,
10565,TRNS,12.0,2017-06-19,23736.0,TRNS,20.65,2018-06-19,301077.0
10566,TRNS,19.8,2018-06-08,506959.2,TRNS,25.25,2019-06-10,829437.25
10567,TRNS,25.15,2019-06-07,878741.0,TRNS,26.44,2020-06-08,557910.4400000001
10568,TRNS,26.44,2020-06-08,557910.4400000001,TRNS,56.56,2021-06-08,697837.28
10569,TRNS,56.56,2021-06-08,697837.28,TRNS,,,
10570,TROW,108.9,2018-02-16,149049143.1,TROW,97.34,2019-02-19,151200266.14000002
10571,TROW,97.44,2019-02-13,165080022.24,TROW,138.01,2020-02-13,173647632.25
10572,TROW,133.96,2020-01-24,136624196.48000002,TROW,155.96,2021-01-25,171531514.28
10573,TROW,164.3,2021-02-11,138495206.3,TROW,148.78,2022-02-11,333935370.98
10574,TROW,135.45,2022-02-24,392371695.45,TROW,,,
10575,TROX,19.99,2018-03-01,57334758.279999994,TROX,11.95,2019-03-01,10661013.25
10576,TROX,11.95,2019-03-01,10661013.25,TROX,7.41,2020-03-02,16001813.49
10577,TROX,4.29,2020-03-16,6574763.91,TROX,18.82,2021-03-16,34774862.02
10578,TROX,20.71,2021-02-23,36084379.15,TROX,21.44,2022-02-23,24901488.0
10579,TROX,21.0,2022-02-22,42873852.0,TROX,,,
